Seq	sample	Entrez_old	Entrez	Symbol
1	ARHGEF10L	55160	55160	ARHGEF10L
2	HIF3A	64344	64344	HIF3A
3	RNF17	56163	56163	RNF17
4	RNF10	9921	9921	RNF10
5	RNF11	26994	26994	RNF11
6	RNF13	11342	11342	RNF13
7	GTF2IP1	2970	2970	GTF2IP1
8	REM1	28954	28954	REM1
9	MTVR2	246754	246754	MTVR2
10	RTN4RL2	349667	349667	RTN4RL2
11	C16orf13	84326	84326	METTL26
12	C16orf11	146325	146325	PRR35
13	FGFR1OP2	26127	26127	FGFR1OP2
14	TSKS	60385	60385	TSKS
15	ATRX	546	546	ATRX
16	PMM2	5373	5373	PMM2
17	LOC100272146	100272146	100272146	NFE2L3P2
18	ASS1	445	445	ASS1
19	NCBP1	4686	4686	NCBP1
20	ZNF709	163051	163051	ZNF709
21	ZNF708	7562	7562	ZNF708
22	RBM14	10432	10432	RBM14
23	NCBP2	22916	22916	NCBP2
24	DISC1	27185	27185	DISC1
25	CAMK1	8536	8536	CAMK1
26	RPL37	6167	6167	RPL37
27	SPR	6697	6697	SPR
28	ZNF700	90592	90592	ZNF700
29	ZNF707	286075	286075	ZNF707
30	CAMK4	814	814	CAMK4
31	ZNF704	619279	619279	ZNF704
32	LOC339240	339240	339240	KRT17P5
33	GOLGA6B	55889	55889	GOLGA6B
34	RNF115	27246	27246	RNF115
35	RNF112	7732	7732	RNF112
36	ZC3H14	79882	79882	ZC3H14
37	SPN	6693	6693	SPN
38	HMGCLL1	54511	54511	HMGCLL1
39	NACAP1	83955	83955	NACA4P
40	LRRTM1	347730	347730	LRRTM1
41	GRIN1	2902	2902	GRIN1
42	RBMY1A3P	286557	286557	RBMY1A3P
43	DHX8	1659	1659	DHX8
44	DHX9	1660	1660	DHX9
45	LOC441204	441204	441204	LOC441204
46	TCOF1	6949	6949	TCOF1
47	LRRTM3	347731	347731	LRRTM3
48	NUP98	4928	4928	NUP98
49	XPC	7508	7508	XPC
50	SLC12A2	6558	6558	SLC12A2
51	GRINA	2907	2907	GRINA
52	LRRTM2	26045	26045	LRRTM2
53	NUP93	9688	9688	NUP93
54	HAP1	9001	9001	HAP1
55	KLRA1	10748	10748	KLRA1P
56	CAMKV	79012	79012	CAMKV
57	SPPL3	121665	121665	SPPL3
58	GOLIM4	27333	27333	GOLIM4
59	ZNF646	9726	9726	ZNF646
60	OPA3	80207	80207	OPA3
61	OPA1	4976	4976	OPA1
62	RHEB	6009	6009	RHEB
63	RAB40C	57799	57799	RAB40C
64	RAB40B	10966	10966	RAB40B
65	RAB40A	142684	142684	RAB40A
66	COL7A1	1294	1294	COL7A1
67	MDP1	145553	145553	MDP1
68	GTSE1	51512	51512	GTSE1
69	FAM183A	440585	440585	FAM183A
70	ARFRP1	10139	10139	ARFRP1
71	OVCH1	341350	341350	OVCH1
72	FAM183B	340286	340286	FAM183BP
73	PSAP	5660	5660	PSAP
74	KIAA0831	22863	22863	ATG14
75	SPPL2A	84888	84888	SPPL2A
76	SLC46A1	113235	113235	SLC46A1
77	TGFBR2	7048	7048	TGFBR2
78	ITGA8	8516	8516	ITGA8
79	ITGA9	3680	3680	ITGA9
80	STK40	83931	83931	STK40
81	MYO3B	140469	140469	MYO3B
82	ATP2A1	487	487	ATP2A1
83	ATP2A2	488	488	ATP2A2
84	ATP2A3	489	489	ATP2A3
85	ITGA1	3672	3672	ITGA1
86	ITGA2	3673	3673	ITGA2
87	ITGA3	3675	3675	ITGA3
88	ITGA4	3676	3676	ITGA4
89	ITGA5	3678	3678	ITGA5
